Memory Length,4000,
Trigger Level,0.000E+00,
Source,CH2,
Probe,1X,
Vertical Units,V,
Vertical Scale,2.000E+00,
Vertical Position,-8.000E-02,
Horizontal Units,s,
Horizontal Scale,2.500E-07,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
Sampling Period,1.000E-08,
Firmware,V1.04,
Time, ,
Mode,Fast,
Waveform Data,
4,
4,
8,
11,
14,
17,
20,
23,
26,
30,
34,
37,
41,
44,
48,
51,
54,
57,
61,
64,
67,
70,
74,
77,
79,
81,
81,
79,
77,
73,
68,
63,
58,
55,
51,
50,
47,
45,
42,
38,
34,
29,
26,
22,
19,
17,
14,
11,
7,
4,
0,
-4,
-7,
-10,
-13,
-17,
-19,
-23,
-27,
-31,
-34,
-37,
-41,
-43,
-47,
-51,
-54,
-57,
-61,
-63,
-67,
-71,
-73,
-75,
-78,
-79,
-79,
-77,
-75,
-72,
-68,
-63,
-59,
-55,
-53,
-49,
-46,
-43,
-41,
-37,
-34,
-30,
-27,
-23,
-19,
-15,
-13,
-10,
-7,
-3,
1,
4,
7,
11,
14,
17,
21,
23,
26,
31,
34,
37,
41,
44,
48,
51,
54,
57,
61,
65,
67,
71,
74,
77,
79,
81,
81,
81,
78,
74,
68,
63,
58,
54,
51,
49,
47,
45,
43,
39,
35,
29,
25,
21,
19,
17,
14,
11,
7,
5,
0,
-4,
-7,
-11,
-14,
-16,
-19,
-24,
-27,
-31,
-34,
-37,
-40,
-43,
-47,
-50,
-54,
-57,
-61,
-64,
-67,
-70,
-73,
-76,
-78,
-79,
-79,
-78,
-75,
-71,
-67,
-63,
-59,
-55,
-52,
-49,
-46,
-43,
-41,
-38,
-34,
-30,
-27,
-23,
-19,
-15,
-13,
-10,
-6,
-3,
1,
3,
7,
11,
14,
17,
21,
24,
27,
31,
34,
37,
41,
44,
47,
51,
53,
57,
61,
64,
67,
71,
73,
77,
78,
79,
80,
79,
77,
73,
69,
64,
59,
55,
52,
49,
46,
44,
41,
39,
35,
31,
26,
23,
19,
17,
13,
10,
7,
4,
1,
-3,
-7,
-10,
-13,
-17,
-20,
-23,
-27,
-31,
-34,
-37,
-41,
-44,
-47,
-50,
-54,
-57,
-60,
-63,
-67,
-70,
-73,
-75,
-78,
-79,
-79,
-78,
-75,
-72,
-67,
-63,
-59,
-55,
-52,
-49,
-47,
-44,
-41,
-37,
-33,
-29,
-26,
-23,
-20,
-17,
-13,
-10,
-6,
-3,
1,
4,
7,
11,
14,
17,
20,
24,
27,
30,
34,
37,
41,
45,
47,
51,
53,
57,
61,
64,
67,
71,
73,
76,
78,
79,
79,
78,
76,
73,
69,
65,
60,
55,
52,
49,
46,
43,
41,
38,
34,
31,
27,
23,
19,
16,
13,
10,
7,
5,
1,
-3,
-7,
-11,
-13,
-17,
-20,
-23,
-27,
-31,
-34,
-38,
-40,
-43,
-47,
-50,
-54,
-57,
-61,
-63,
-67,
-71,
-73,
-75,
-79,
-80,
-81,
-79,
-77,
-73,
-68,
-63,
-58,
-55,
-51,
-49,
-47,
-44,
-41,
-39,
-34,
-30,
-26,
-23,
-19,
-15,
-13,
-11,
-7,
-3,
1,
5,
7,
11,
13,
17,
21,
24,
27,
30,
34,
37,
40,
44,
47,
51,
54,
57,
61,
64,
67,
70,
73,
77,
78,
79,
79,
78,
75,
72,
69,
64,
59,
56,
53,
49,
47,
44,
41,
38,
34,
30,
27,
23,
19,
17,
13,
10,
7,
3,
0,
-4,
-7,
-10,
-13,
-17,
-20,
-24,
-27,
-31,
-34,
-38,
-40,
-43,
-47,
-50,
-53,
-57,
-61,
-63,
-67,
-70,
-74,
-76,
-78,
-80,
-80,
-79,
-77,
-73,
-69,
-64,
-59,
-55,
-51,
-49,
-47,
-45,
-42,
-39,
-34,
-30,
-26,
-23,
-19,
-16,
-13,
-11,
-7,
-3,
1,
5,
7,
11,
14,
17,
19,
23,
27,
31,
35,
38,
41,
45,
47,
50,
54,
57,
61,
65,
67,
71,
73,
77,
78,
79,
80,
78,
76,
72,
68,
64,
59,
56,
53,
49,
46,
43,
41,
37,
34,
30,
27,
23,
19,
17,
13,
10,
7,
4,
1,
-3,
-7,
-10,
-14,
-18,
-21,
-23,
-27,
-31,
-34,
-38,
-41,
-44,
-47,
-50,
-54,
-57,
-60,
-63,
-67,
-70,
-73,
-75,
-78,
-79,
-79,
-78,
-76,
-72,
-69,
-63,
-59,
-55,
-51,
-49,
