Memory Length,4000,
Trigger Level,0.000E+00,
Source,CH2,
Probe,1X,
Vertical Units,V,
Vertical Scale,5.000E-02,
Vertical Position,2.000E-03,
Horizontal Units,s,
Horizontal Scale,2.500E-08,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
Sampling Period,1.000E-09,
Firmware,V1.04,
Time, ,
Mode,Fast,
Waveform Data,
-47,
-51,
-46,
-52,
-44,
-46,
-50,
-45,
-43,
-49,
-42,
-48,
-45,
-45,
-45,
-42,
-41,
-45,
-44,
-41,
-45,
-44,
-39,
-39,
-45,
-39,
-45,
-38,
-43,
-41,
-38,
-41,
-45,
-37,
-44,
-41,
-41,
-41,
-43,
-46,
-45,
-44,
-44,
-47,
-42,
-45,
-49,
-48,
-45,
-49,
-47,
-51,
-47,
-51,
-51,
-49,
-47,
-51,
-49,
-52,
-52,
-53,
-51,
-49,
-51,
-50,
-51,
-52,
-56,
-49,
-52,
-50,
-56,
-51,
-55,
-51,
-54,
-49,
-53,
-54,
-58,
-53,
-57,
-52,
-49,
-52,
-52,
-56,
-55,
-53,
-54,
-53,
-47,
-56,
-51,
-53,
-46,
-49,
-47,
-51,
-48,
-49,
-49,
-45,
-41,
-44,
-43,
-45,
-50,
-41,
-47,
-40,
-44,
-43,
-44,
-41,
-47,
-39,
-44,
-41,
-48,
-43,
-45,
-41,
-40,
-44,
-40,
-44,
-45,
-43,
-43,
-43,
-37,
-47,
-40,
-45,
-41,
-44,
-43,
-45,
-42,
-46,
-44,
-45,
-41,
-47,
-45,
-46,
-48,
-44,
-49,
-44,
-47,
-47,
-49,
-47,
-51,
-45,
-53,
-47,
-55,
-49,
-52,
-51,
-52,
-51,
-53,
-53,
-55,
-51,
-53,
-55,
-52,
-56,
-51,
-56,
-53,
-55,
-53,
-55,
-52,
-55,
-51,
-54,
-51,
-54,
-54,
-52,
-51,
-52,
-52,
-52,
-51,
-51,
-53,
-49,
-49,
-48,
-51,
-47,
-49,
-46,
-47,
-46,
-47,
-45,
-47,
-43,
-45,
-44,
-43,
-45,
-47,
-43,
-43,
-42,
-42,
-42,
-43,
-44,
-45,
-41,
-41,
-44,
-41,
-41,
-44,
-41,
-41,
-43,
-42,
-45,
-43,
-43,
-44,
-41,
-40,
-46,
-44,
-43,
-45,
-47,
-45,
-45,
-44,
-47,
-47,
-44,
-48,
-49,
-46,
-49,
-48,
-44,
-48,
-49,
-50,
-49,
-50,
-51,
-52,
-45,
-49,
-53,
-51,
-48,
-55,
-52,
-53,
-53,
-53,
-53,
-52,
-51,
-56,
-53,
-52,
-60,
-57,
-53,
-52,
-55,
-53,
-55,
-50,
-55,
-56,
-53,
-54,
-56,
-49,
-53,
-51,
-46,
-49,
-49,
-52,
-51,
-49,
-47,
-49,
-41,
-43,
-45,
-47,
-43,
-48,
-45,
-44,
-45,
-42,
-44,
-42,
-40,
-45,
-43,
-41,
-48,
-47,
-43,
-41,
-41,
-43,
-43,
-43,
-46,
-46,
-43,
-42,
-44,
-41,
-42,
-43,
-41,
-41,
-41,
-44,
-47,
-40,
-44,
-44,
-39,
-40,
-41,
-46,
-46,
-43,
-45,
-47,
-44,
-45,
-45,
-48,
-45,
-51,
-49,
-49,
-51,
-53,
-53,
-51,
-49,
-57,
-51,
-49,
-57,
-56,
-57,
-53,
-51,
-55,
-54,
-50,
-54,
-54,
-54,
-53,
-53,
-50,
-55,
-53,
-48,
-51,
-49,
-52,
-54,
-49,
-53,
-55,
-46,
-49,
-48,
-51,
-53,
-51,
-49,
-51,
-47,
-49,
-49,
-49,
-46,
-50,
-45,
-43,
-50,
-49,
-51,
-46,
-41,
-48,
-44,
-41,
-49,
-47,
-45,
-42,
-43,
-43,
-45,
-43,
-43,
-41,
-39,
-41,
-45,
-39,
-44,
-47,
-36,
-39,
-37,
-42,
-44,
-41,
-41,
-46,
-37,
-41,
-43,
-44,
-41,
-47,
-41,
-43,
-45,
-46,
-49,
-47,
-44,
-49,
-47,
-43,
-53,
-52,
-52,
-49,
-51,
-51,
-52,
-49,
-56,
-54,
-51,
-51,
-55,
-51,
-55,
-57,
-51,
-53,
-51,
-53,
-56,
-53,
-54,
-56,
-47,
-48,
-53,
-53,
-51,
-54,
-52,
-52,
-49,
-49,
-53,
-53,
-48,
-55,
-50,
-49,
-53,
-53,
-51,
-49,
-49,
-51,
-48,
-45,
-52,
-52,
-47,
-45,
-49,
-44,
-46,
-45,
-45,
